epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,7733.45,1.51091,1.04887,0.94809,0.74077,0.64121,0.71183,0.50784,1.46731,0.97265,0.94819,0.000325214,0.000325214,0.000325214
81,7790.86,1.52209,1.04623,0.95047,0.71251,0.67585,0.70967,0.51136,1.4638,0.97312,0.94442,0.000321888,0.000321888,0.000321888
82,7848.08,1.51379,1.04452,0.95023,0.75074,0.66589,0.71563,0.50837,1.47662,0.96913,0.94899,0.000318562,0.000318562,0.000318562
83,7905.2,1.51151,1.04524,0.94905,0.74912,0.65503,0.70706,0.50775,1.47276,0.99361,0.94655,0.000315235,0.000315235,0.000315235
84,7998.4,1.517,1.04006,0.9431,0.74918,0.66471,0.7194,0.51945,1.45698,0.95984,0.9451,0.000311909,0.000311909,0.000311909
85,8081.37,1.50953,1.02922,0.94205,0.79246,0.64067,0.71558,0.51848,1.46844,0.96589,0.94554,0.000308582,0.000308582,0.000308582
86,8148.26,1.48173,1.00478,0.93698,0.79356,0.65398,0.72276,0.52357,1.45801,0.94605,0.94372,0.000305256,0.000305256,0.000305256
87,8224.9,1.4901,1.01455,0.93967,0.78722,0.67035,0.73276,0.53186,1.45294,0.94317,0.94278,0.00030193,0.00030193,0.00030193
88,8288.22,1.48839,1.01531,0.94147,0.81336,0.64899,0.73062,0.52826,1.46042,0.95167,0.94333,0.000298603,0.000298603,0.000298603
89,8357.43,1.49636,1.01279,0.94448,0.79365,0.66752,0.73291,0.52829,1.45273,0.94668,0.941,0.000295277,0.000295277,0.000295277
90,8412.92,1.5004,1.00175,0.94429,0.79919,0.66841,0.73547,0.53318,1.43982,0.92985,0.94044,0.00029195,0.00029195,0.00029195
91,8469.71,1.48737,1.01169,0.94315,0.8166,0.65222,0.73312,0.53371,1.44339,0.95238,0.94037,0.000288624,0.000288624,0.000288624
92,8532.28,1.48702,1.00172,0.93957,0.746,0.69046,0.7335,0.5305,1.45004,0.95329,0.94075,0.000285298,0.000285298,0.000285298
93,8591.38,1.4985,1.00175,0.93744,0.77159,0.68163,0.73787,0.53346,1.43808,0.93491,0.93929,0.000281971,0.000281971,0.000281971
94,8704.23,1.47537,0.99355,0.94292,0.79628,0.6745,0.73689,0.5353,1.43922,0.92659,0.93846,0.000278645,0.000278645,0.000278645
95,8831.6,1.49457,0.99513,0.93418,0.80593,0.67182,0.73853,0.53601,1.45671,0.93544,0.94105,0.000275318,0.000275318,0.000275318
96,8943.84,1.48427,1.00553,0.93391,0.80738,0.67371,0.74039,0.53766,1.43021,0.93244,0.93759,0.000271992,0.000271992,0.000271992
97,9264,1.44683,0.96646,0.93467,0.81419,0.67831,0.7417,0.53682,1.4555,0.9274,0.94214,0.000268666,0.000268666,0.000268666
98,9360.11,1.49957,0.99677,0.94446,0.81896,0.67096,0.74679,0.54243,1.42768,0.9174,0.93809,0.000265339,0.000265339,0.000265339
99,9571.28,1.43561,0.951,0.93326,0.78078,0.67357,0.73688,0.53616,1.43547,0.91712,0.93766,0.000262013,0.000262013,0.000262013
100,9626.53,1.47631,0.96974,0.93871,0.78224,0.69067,0.74716,0.54631,1.4373,0.91613,0.93963,0.000258686,0.000258686,0.000258686
101,9683.66,1.45832,0.95255,0.93687,0.80175,0.66907,0.74587,0.5456,1.44073,0.91667,0.93815,0.00025536,0.00025536,0.00025536
102,9906.37,1.48374,0.97381,0.93759,0.83143,0.66918,0.75142,0.54432,1.44107,0.91193,0.93759,0.000252034,0.000252034,0.000252034
103,9969.41,1.45341,0.95787,0.93705,0.80326,0.68366,0.74962,0.5535,1.41344,0.89963,0.93325,0.000248707,0.000248707,0.000248707
104,10053.2,1.43787,0.94052,0.93094,0.83085,0.66606,0.75099,0.54471,1.43674,0.90621,0.93865,0.000245381,0.000245381,0.000245381
105,10138.3,1.45195,0.94738,0.93376,0.82436,0.68679,0.75644,0.55276,1.43898,0.89505,0.93631,0.000242054,0.000242054,0.000242054
106,10215.4,1.45821,0.95495,0.93155,0.83052,0.67944,0.75741,0.55601,1.42119,0.90136,0.93395,0.000238728,0.000238728,0.000238728
107,10273.9,1.44373,0.95225,0.93093,0.81461,0.67898,0.7569,0.5567,1.42106,0.89339,0.93367,0.000235402,0.000235402,0.000235402
108,10383.5,1.45189,0.95838,0.92717,0.8081,0.68766,0.7562,0.55777,1.41969,0.90001,0.93378,0.000232075,0.000232075,0.000232075
109,10448.4,1.4622,0.96139,0.92981,0.80887,0.69565,0.7611,0.55535,1.42753,0.89473,0.93315,0.000228749,0.000228749,0.000228749
110,10537.6,1.43972,0.94853,0.93369,0.85698,0.69098,0.76454,0.55927,1.41709,0.89159,0.93405,0.000225422,0.000225422,0.000225422
111,10598.1,1.45898,0.95796,0.93171,0.81029,0.6933,0.75941,0.5583,1.41936,0.8996,0.93406,0.000222096,0.000222096,0.000222096
112,10679.1,1.43469,0.9397,0.92859,0.83158,0.70912,0.7697,0.56983,1.4124,0.87459,0.93036,0.00021877,0.00021877,0.00021877
113,10754.6,1.42776,0.93475,0.92712,0.85119,0.68994,0.76758,0.56918,1.40695,0.87994,0.93134,0.000215443,0.000215443,0.000215443
114,10827.7,1.45965,0.94754,0.93155,0.85613,0.69062,0.77032,0.56452,1.41172,0.88348,0.93012,0.000212117,0.000212117,0.000212117
115,10899.8,1.40365,0.90857,0.92466,0.82099,0.71614,0.77427,0.57144,1.4057,0.87735,0.92853,0.00020879,0.00020879,0.00020879
116,11110.8,1.43617,0.9422,0.92521,0.81308,0.70989,0.77072,0.56605,1.42106,0.88172,0.93051,0.000205464,0.000205464,0.000205464
117,11166.1,1.45348,0.93873,0.9292,0.82953,0.71033,0.77129,0.56854,1.40657,0.88066,0.93041,0.000202138,0.000202138,0.000202138
118,11225.3,1.42477,0.93031,0.92666,0.80735,0.71044,0.76622,0.56488,1.41533,0.88028,0.93216,0.000198811,0.000198811,0.000198811
119,11430,1.42339,0.92626,0.92569,0.83813,0.70549,0.77277,0.56687,1.41012,0.88037,0.93083,0.000195485,0.000195485,0.000195485
120,11499.4,1.42751,0.92721,0.92898,0.85418,0.69246,0.7684,0.56795,1.40363,0.87386,0.92809,0.000192158,0.000192158,0.000192158
121,11560.9,1.41925,0.90912,0.92975,0.81917,0.70836,0.77023,0.57597,1.39227,0.87043,0.92748,0.000188832,0.000188832,0.000188832
122,11618.8,1.43371,0.9211,0.93146,0.83385,0.69946,0.76559,0.56541,1.40814,0.87647,0.92941,0.000185506,0.000185506,0.000185506
123,11699.4,1.40354,0.91031,0.9254,0.83004,0.7027,0.77422,0.56985,1.39518,0.86529,0.92656,0.000182179,0.000182179,0.000182179
124,11822,1.41561,0.91062,0.92871,0.8499,0.69371,0.7697,0.57005,1.39588,0.86675,0.92644,0.000178853,0.000178853,0.000178853
125,11877,1.38644,0.89636,0.92041,0.81656,0.70589,0.77359,0.56905,1.39531,0.86094,0.92779,0.000175526,0.000175526,0.000175526
126,11964.2,1.42065,0.91395,0.9171,0.86516,0.7016,0.77355,0.57659,1.39387,0.8564,0.92668,0.0001722,0.0001722,0.0001722
127,12031.4,1.40505,0.90949,0.92218,0.84064,0.71064,0.77416,0.57354,1.39056,0.85772,0.92597,0.000168874,0.000168874,0.000168874
128,12088.4,1.41484,0.90721,0.92235,0.8351,0.71751,0.78032,0.57917,1.38519,0.85586,0.92455,0.000165547,0.000165547,0.000165547
129,12159.2,1.39582,0.88831,0.91594,0.85217,0.70705,0.77803,0.57805,1.38835,0.86435,0.92567,0.000162221,0.000162221,0.000162221
130,12230.8,1.40992,0.90409,0.92342,0.83502,0.71865,0.77897,0.57894,1.39564,0.85713,0.92674,0.000158894,0.000158894,0.000158894
131,12295.6,1.41479,0.90629,0.92028,0.85594,0.71351,0.77973,0.5811,1.38581,0.85555,0.92456,0.000155568,0.000155568,0.000155568
132,12363.2,1.41019,0.89929,0.92495,0.84092,0.71792,0.78564,0.58085,1.38804,0.85086,0.92525,0.000152242,0.000152242,0.000152242
133,12418.3,1.38463,0.88467,0.91816,0.84302,0.71933,0.77949,0.5784,1.39175,0.84894,0.92659,0.000148915,0.000148915,0.000148915
134,12485.2,1.39934,0.89214,0.92233,0.8339,0.73415,0.78805,0.5793,1.39007,0.84943,0.92653,0.000145589,0.000145589,0.000145589
135,12559.9,1.43277,0.91114,0.91838,0.86059,0.72249,0.79286,0.58886,1.38939,0.84571,0.92472,0.000142262,0.000142262,0.000142262
136,12675.4,1.40258,0.89574,0.92247,0.83631,0.72799,0.79106,0.58691,1.39737,0.85289,0.92571,0.000138936,0.000138936,0.000138936
137,12801.6,1.40283,0.89119,0.91577,0.8292,0.73373,0.78893,0.58621,1.38514,0.84764,0.92499,0.00013561,0.00013561,0.00013561
138,12882.7,1.39078,0.88553,0.91829,0.85165,0.72618,0.78941,0.59022,1.37785,0.84241,0.92276,0.000132283,0.000132283,0.000132283
139,12942.1,1.39976,0.8914,0.91869,0.83545,0.72723,0.79105,0.58932,1.37855,0.8467,0.92369,0.000128957,0.000128957,0.000128957
140,12997.7,1.38826,0.88104,0.91696,0.8605,0.7201,0.78711,0.58527,1.37707,0.84205,0.92284,0.00012563,0.00012563,0.00012563
141,13052.9,1.38406,0.88159,0.91498,0.84608,0.72393,0.78531,0.58009,1.38803,0.84362,0.9243,0.000122304,0.000122304,0.000122304
142,13198.1,1.3764,0.87388,0.91527,0.83073,0.72716,0.78746,0.58763,1.38053,0.84333,0.92284,0.000118978,0.000118978,0.000118978
143,13270.7,1.39211,0.88411,0.92157,0.81548,0.7441,0.78641,0.58622,1.37925,0.83947,0.92241,0.000115651,0.000115651,0.000115651
144,13337.8,1.38446,0.87902,0.91496,0.8473,0.72967,0.78734,0.58803,1.37448,0.83498,0.92117,0.000112325,0.000112325,0.000112325
145,13432.4,1.38358,0.87359,0.91282,0.85244,0.7201,0.78754,0.58803,1.3776,0.83431,0.92285,0.000108998,0.000108998,0.000108998
146,13491.8,1.3847,0.87903,0.91479,0.82904,0.74227,0.79365,0.58965,1.3797,0.836,0.92307,0.000105672,0.000105672,0.000105672
